SRA_ID,Name,name_base,BioProject,key,grin_accession,grin_plant_name,grin_n_acc_for_key,risky,confident_match,pi_linked_in_sra2accession
ERR10288633,SG-30A,SG-30A,PRJEB56320,SG30A,PI 686067,SG 30A,1.0,False,True,False
ERR10288634,SEAGULLSEVENTEE,SEAGULLSEVENTEE,PRJEB56320,SEAGULLSEVENTEE,,,,,False,False
ERR10288635,SD42,SD42,PRJEB56320,SD42,PI 508277,SD42,1.0,False,True,True
ERR10288636,YE4,YE4,PRJEB56320,YE4,Ames 2335,Ye 4,1.0,False,True,False
ERR10288637,R30,R30,PRJEB56320,R30,Ames 15917,R30,2.0,False,False,False
ERR10288638,PHTD5,PHTD5,PRJEB56320,PHTD5,PI 578035,PHTD5,1.0,False,True,True
ERR10288640,PHV07,PHV07,PRJEB56320,PHV07,PI 543847,PHV07,1.0,False,True,True
ERR10288641,R197,R197,PRJEB56320,R197,NSL 30902,R197,1.0,False,True,True
ERR10288642,R134,R134,PRJEB56320,R134,NSL 30884,R134,1.0,False,True,True
ERR10289252,PHWRZ,PHWRZ,PRJEB56320,PHWRZ,PI 658504,PHWRZ,1.0,False,True,True
ERR10289277,PHT73,PHT73,PRJEB56320,PHT73,PI 559950,PHT73,1.0,False,True,True
ERR10289278,PHJ90,PHJ90,PRJEB56320,PHJ90,PI 548799,PHJ90,1.0,False,True,True
ERR10289279,R101,R101,PRJEB56320,R101,PI 693875,R101,1.0,False,True,True
ERR10289280,PHR61,PHR61,PRJEB56320,PHR61,PI 548806,PHR61,1.0,False,True,True
ERR10289281,PHW06,PHW06,PRJEB56320,PHW06,PI 543848,PHW06,1.0,False,True,True
ERR10289282,PHN18,PHN18,PRJEB56320,PHN18,PI 559943,PHN18,1.0,False,True,True
ERR10289283,PHTE4,PHTE4,PRJEB56320,PHTE4,PI 578034,PHTE4,1.0,False,True,True
ERR10289284,PHHB9,PHHB9,PRJEB56320,PHHB9,PI 565104,PHHB9,1.0,False,True,True
ERR10289285,PHHB4,PHHB4,PRJEB56320,PHHB4,PI 578033,PHHB4,1.0,False,True,True
ERR10289286,PHN41,PHN41,PRJEB56320,PHN41,PI 565109,PHN41,1.0,False,True,True
ERR10289287,R53,R53,PRJEB56320,R53,NSL 30869,R53,1.0,False,True,True
ERR10289288,PHRE1,PHRE1,PRJEB56320,PHRE1,PI 565110,PHRE1,1.0,False,True,True
ERR10289289,PHGG7,PHGG7,PRJEB56320,PHGG7,PI 559938,PHGG7,1.0,False,True,True
ERR10289291,PHEM7,PHEM7,PRJEB56320,PHEM7,PI 578032,PHEM7,1.0,False,True,True
ERR10289292,R225,R225,PRJEB56320,R225,PI 531509,R225,1.0,False,True,True
ERR10289293,PHEW7,PHEW7,PRJEB56320,PHEW7,PI 565102,PHEW7,1.0,False,True,True
ERR10289294,PHFA5,PHFA5,PRJEB56320,PHFA5,PI 565103,PHFA5,1.0,False,True,True
ERR10289295,PHEM9,PHEM9,PRJEB56320,PHEM9,PI 565101,PHEM9,1.0,False,True,True
ERR10289296,PHGV6,PHGV6,PRJEB56320,PHGV6,PI 559939,PHGV6,1.0,False,True,True
ERR10289297,PHDD6,PHDD6,PRJEB56320,PHDD6,PI 559937,PHDD6,1.0,False,True,True
ERR10289298,PHJ65,PHJ65,PRJEB56320,PHJ65,PI 543840,PHJ65,1.0,False,True,True
ERR10289299,PHAW6,PHAW6,PRJEB56320,PHAW6,PI 565100,PHAW6,1.0,False,True,True
ERR10289300,PA405,PA405,PRJEB56320,PA405,Ames 22757,Pa405,1.0,False,True,False
ERR10289301,PA778,PA778,PRJEB56320,PA778,PI 560081,Pa778,1.0,False,True,False
ERR10289302,OQ601,OQ601,PRJEB56320,OQ601,PI 583773,OQ601,1.0,False,True,True
ERR10289303,OQ101,OQ101,PRJEB56320,OQ101,PI 559919,OQ101,1.0,False,True,True
ERR10289304,PA468,PA468,PRJEB56320,PA468,PI 517971,Pa468,1.0,False,True,False
ERR10289305,PH5HK,PH5HK,PRJEB56320,PH5HK,PI 628348,PH5HK,1.0,False,True,True
ERR10289306,PA392,PA392,PRJEB56320,PA392,PI 517968,Pa392,1.0,False,True,False
ERR10289307,NY_166__NEVEH_Y,NY_166__NEVEH_Y,PRJEB56320,NY166NEVEHY,,,,,False,False
ERR10289308,NY159_NEVEHYAAR,NY159_NEVEHYAAR,PRJEB56320,NY159NEVEHYAAR,PI 200182,NY 159 (Neveh Yaar),1.0,False,True,False
ERR10289309,OH3167B,OH3167B,PRJEB56320,OH3167B,PI 692198,Oh 3167B,1.0,False,True,False
ERR10289310,OS426,OS426,PRJEB56320,OS426,PI 151531,Os426,1.0,False,True,False
ERR10289311,PA891,PA891,PRJEB56320,PA891,PI 531083,Pa891,1.0,False,True,False
ERR10289312,NP87,NP87,PRJEB56320,NP87,PI 542716,NP87,1.0,False,True,True
ERR10289313,NQ402,NQ402,PRJEB56320,NQ402,PI 566940,NQ402,1.0,False,True,True
ERR10289314,NO-380,NO-380,PRJEB56320,NO380,PI 303924,NO. 380,1.0,False,True,False
ERR10289315,NORTH7,NORTH7,PRJEB56320,NORTH7,Ames 2328,North 7,1.0,False,True,False
ERR10289316,NKBCC03,NKBCC03,PRJEB56320,NKBCC03,,,,,False,False
ERR10289317,NKNP901,NKNP901,PRJEB56320,NKNP901,,,,,False,False
ERR10289318,NK907,NK907,PRJEB56320,NK907,,,,,False,False
ERR10289319,NK794,NK794,PRJEB56320,NK794,,,,,False,False
ERR10289320,ND262,ND262,PRJEB56320,ND262,PI 522250,ND262,1.0,False,True,True
ERR10289322,ND287,ND287,PRJEB56320,ND287,PI 602956,ND287,1.0,False,True,True
ERR10289323,ND251,ND251,PRJEB56320,ND251,PI 550532,ND251,1.0,False,True,True
ERR10289324,ND283,ND283,PRJEB56320,ND283,NSL 32738,ND283,1.0,False,True,True
ERR10289325,ND260,ND260,PRJEB56320,ND260,PI 550573,ND260,1.0,False,True,True
ERR10289326,ND167,ND167,PRJEB56320,ND167,NSL 32726,ND167,1.0,False,True,True
ERR10289327,ND245,ND245,PRJEB56320,ND245,PI 550489,ND245,1.0,False,True,True
ERR10289328,ND1,ND1,PRJEB56320,ND1,NSL 32723,ND1,1.0,False,True,True
ERR10289329,ND249,ND249,PRJEB56320,ND249,PI 550530,ND249,1.0,False,True,True
ERR10289330,N216,N216,PRJEB56320,N216,PI 596355,N216,1.0,False,True,True
ERR10289331,ND230,ND230,PRJEB56320,ND230,PI 700795,ND230,1.0,False,True,True
ERR10289332,NC13,NC13,PRJEB56320,NC13,PI 690361,NC13,1.0,False,True,True
ERR10289333,N538,N538,PRJEB56320,N538,PI 594084,N538,1.0,False,True,True
ERR10289334,N545,N545,PRJEB56320,N545,PI 594091,N545,1.0,False,True,True
ERR10289335,N534,N534,PRJEB56320,N534,PI 594080,N534,1.0,False,True,True
ERR10289336,MS223,MS223,PRJEB56320,MS223,Ames 24748,MS223,1.0,False,True,True
ERR10289337,N540,N540,PRJEB56320,N540,PI 594086,N540,1.0,False,True,True
ERR10289338,MS106,MS106,PRJEB56320,MS106,Ames 24727,MS106,1.0,False,True,True
ERR10289339,MS222,MS222,PRJEB56320,MS222,Ames 24747,MS222,1.0,False,True,True
ERR10289341,MO7,MO7,PRJEB56320,MO7,PI 558516,Mo7,1.0,False,True,False
ERR10289342,N199,N199,PRJEB56320,N199,PI 568158,N199,1.0,False,True,True
ERR10289343,MS12,MS12,PRJEB56320,MS12,Ames 24706,MS12,1.0,False,True,True
ERR10289344,MO3,MO3,PRJEB56320,MO3,PI 558522,Mo3,1.0,False,True,False
ERR10289345,MO39,MO39,PRJEB56320,MO39,Ames 28937,Mo39,1.0,False,True,False
ERR10289346,MS142,MS142,PRJEB56320,MS142,Ames 24733,MS142,1.0,False,True,True
ERR10289347,MO28W,MO28W,PRJEB56320,MO28W,Ames 28928,Mo28W,1.0,False,True,False
ERR10289348,MO16W,MO16W,PRJEB56320,MO16W,PI 558531,Mo16W,1.0,False,True,False
ERR10289349,MO30W,MO30W,PRJEB56320,MO30W,,,,,False,False
ERR10289350,MO5,MO5,PRJEB56320,MO5,PI 558523,Mo5,1.0,False,True,False
ERR10289351,MO23W,MO23W,PRJEB56320,MO23W,Ames 20116,Mo23W,1.0,False,True,False
ERR10289352,MO15W,MO15W,PRJEB56320,MO15W,PI 558518,Mo15W,1.0,False,True,False
ERR10289354,MO13,MO13,PRJEB56320,MO13,PI 558529,Mo13,1.0,False,True,False
ERR10289355,LP1NRHT,LP1NRHT,PRJEB56320,LP1NRHT,PI 600729,LP1 NR HT,1.0,False,True,False
ERR10289356,LH284,LH284,PRJEB56320,LH284,PI 602590,LH284,1.0,False,True,True
ERR10289357,LH225,LH225,PRJEB56320,LH225,PI 574391,LH225,1.0,False,True,True
ERR10289358,LH212HT,LH212HT,PRJEB56320,LH212HT,PI 547089,LH212Ht,1.0,False,True,False
ERR10289359,LH218,LH218,PRJEB56320,LH218,PI 574390,LH218,1.0,False,True,True
ERR10289360,LH299,LH299,PRJEB56320,LH299,PI 642029,LH299,1.0,False,True,True
ERR10289361,LH217,LH217,PRJEB56320,LH217,PI 564540,LH217,1.0,False,True,True
ERR10289362,LH250,LH250,PRJEB56320,LH250,PI 583874,LH250,1.0,False,True,True
ERR10289363,LH252,LH252,PRJEB56320,LH252,PI 585227,LH252,1.0,False,True,True
ERR10289364,LH210,LH210,PRJEB56320,LH210,PI 537100,LH210,1.0,False,True,True
ERR10289365,LH260,LH260,PRJEB56320,LH260,PI 585228,LH260,1.0,False,True,True
ERR10289366,LH231,LH231,PRJEB56320,LH231,PI 585226,LH231,1.0,False,True,True
ERR10289367,LH175,LH175,PRJEB56320,LH175,PI 583872,LH175,1.0,False,True,True
ERR10289368,LH189HT,LH189HT,PRJEB56320,LH189HT,,,,,False,False
ERR10289975,LH183,LH183,PRJEB56320,LH183,PI 564755,LH183,1.0,False,True,True
ERR10289976,LH163,LH163,PRJEB56320,LH163,PI 538008,LH163,1.0,False,True,True
ERR10289977,LH188,LH188,PRJEB56320,LH188,PI 585224,LH188,1.0,False,True,True
ERR10289978,LH169HT,LH169HT,PRJEB56320,LH169HT,PI 576170,LH169Ht,1.0,False,True,False
ERR10290059,LH167,LH167,PRJEB56320,LH167,PI 564543,LH167,1.0,False,True,True
ERR10290060,LH159,LH159,PRJEB56320,LH159,PI 562377,LH159,1.0,False,True,True
ERR10290061,LH186,LH186,PRJEB56320,LH186,PI 576172,LH186,1.0,False,True,True
ERR10290062,L222,L222,PRJEB56320,L222,PI 584325,L222,1.0,False,True,True
ERR10290063,L155,L155,PRJEB56320,L155,PI 550695,L 155,1.0,False,True,False
ERR10290064,KO679Y,KO679Y,PRJEB56320,KO679Y,PI 591017,KO679Y,1.0,False,True,True
ERR10290065,L289,L289,PRJEB56320,L289,NSL 65872,L 289,1.0,False,True,False
ERR10290066,K155,K155,PRJEB56320,K155,PI 706570,K155,1.0,False,True,True
ERR10290067,K201,K201,PRJEB56320,K201,PI 706569,K201,1.0,False,True,True
ERR10290068,INBRED305,INBRED305,PRJEB56320,INBRED305,,,,,False,False
ERR10290069,LH164,LH164,PRJEB56320,LH164,PI 555659,LH164,1.0,False,True,True
ERR10290070,INBRED309,INBRED309,PRJEB56320,INBRED309,,,,,False,False
ERR10290071,INBRED_321,INBRED_321,PRJEB56320,INBRED321,,,,,False,False
ERR10290072,IL778D,IL778D,PRJEB56320,IL778D,PI 706561,IL 778d,1.0,False,True,False
ERR10290073,INBRED141,INBRED141,PRJEB56320,INBRED141,,,,,False,False
ERR10290074,ICI986,ICI986,PRJEB56320,ICI986,PI 559384,ICI 986,1.0,False,True,False
ERR10290075,INBRED_109,INBRED_109,PRJEB56320,INBRED109,,,,,False,False
ERR10290076,I159,I159,PRJEB56320,I159,Ames 24589,I159,1.0,False,True,True
ERR10290077,INBRED2-687,INBRED2-687,PRJEB56320,INBRED2687,,,,,False,False
ERR10290078,IL101T,IL101T,PRJEB56320,IL101T,PI 693367,IL101T,1.0,False,True,True
ERR10290079,INBRED_100,INBRED_100,PRJEB56320,INBRED100,,,,,False,False
ERR10290080,H124W,H124W,PRJEB56320,H124W,PI 698996,H124w,1.0,False,True,False
ERR10290081,H52,H52,PRJEB56320,H52,PI 698972,H52,1.0,False,True,True
ERR10290082,H122W,H122W,PRJEB56320,H122W,PI 698994,H122w,1.0,False,True,False
ERR10290083,HI26,HI26,PRJEB56320,HI26,PI 593008,Hi26,1.0,False,True,False
ERR10290084,ICI740,ICI740,PRJEB56320,ICI740,PI 559382,ICI 740,1.0,False,True,False
ERR10290085,G22T122,G22T122,PRJEB56320,G22T122,,,,,False,False
ERR10290086,HI28,HI28,PRJEB56320,HI28,PI 593010,Hi28,1.0,False,True,False
ERR10290087,FE,FE,PRJEB56320,FE,PI 692201,Fe,1.0,True,False,False
ERR10290088,H14,H14,PRJEB56320,H14,PI 698954,H14,1.0,False,True,True
ERR10290089,ICI893,ICI893,PRJEB56320,ICI893,PI 559383,ICI 893,1.0,False,True,False
ERR10290090,ICI441,ICI441,PRJEB56320,ICI441,PI 559381,ICI 441,1.0,False,True,False
ERR10290091,DK84BRQ4,DK84BRQ4,PRJEB56320,DK84BRQ4,,,,,False,False
ERR10290092,DK6F545,DK6F545,PRJEB56320,DK6F545,,,,,False,False
ERR10290093,DK8F196,DK8F196,PRJEB56320,DK8F196,,,,,False,False
ERR10290094,GE54,GE54,PRJEB56320,GE54,PI 700948,GE54,1.0,False,True,True
ERR10290095,F44,F44,PRJEB56320,F44,,,,,False,False
ERR10290096,CO236,CO236,PRJEB56320,CO236,Ames 27046,CO236,1.0,False,True,True
ERR10290097,G3T5A,G3T5A,PRJEB56320,G3T5A,,,,,False,False
ERR10290098,GE129,GE129,PRJEB56320,GE129,PI 700950,GE129,1.0,False,True,True
ERR10290099,ENG-LICHIH,ENG-LICHIH,PRJEB56320,ENGLICHIH,PI 427109,Eng-li Chih,1.0,False,True,False
ERR10290100,DKMFD-13D,DKMFD-13D,PRJEB56320,DKMFD13D,,,,,False,False
ERR10290101,F115,F115,PRJEB56320,F115,PI 257513,F115,1.0,False,True,True
ERR10290102,DKNL001,DKNL001,PRJEB56320,DKNL001,,,,,False,False
ERR10290103,DK8M129,DK8M129,PRJEB56320,DK8M129,,,,,False,False
ERR10290104,ICI193,ICI193,PRJEB56320,ICI193,PI 559380,ICI 193,1.0,False,True,False
ERR10290105,DKMBZA,DKMBZA,PRJEB56320,DKMBZA,,,,,False,False
ERR10290106,DKF274,DKF274,PRJEB56320,DKF274,,,,,False,False
ERR10290107,IA453,IA453,PRJEB56320,IA453,Ames 22030,Ia453,1.0,False,True,False
ERR10290108,DKWDAD1,DKWDAD1,PRJEB56320,DKWDAD1,,,,,False,False
ERR10290109,DK8M116,DK8M116,PRJEB56320,DK8M116,,,,,False,False
ERR10290110,IA5125B,IA5125B,PRJEB56320,IA5125B,Ames 27117,Ia5125B,1.0,False,True,False
ERR10290111,DK3IIH6,DK3IIH6,PRJEB56320,DK3IIH6,,,,,False,False
ERR10290112,CSJ3,CSJ3,PRJEB56320,CSJ3,Ames 27057,CSJ3,1.0,False,True,True
ERR10290113,CL17,CL17,PRJEB56320,CL17,Ames 27024,CL17,1.0,False,True,True
ERR10290114,CQ806,CQ806,PRJEB56320,CQ806,PI 566939,CQ806,1.0,False,True,True
ERR10290115,CI91B,CI91B,PRJEB56320,CI91B,PI 694098,C.I. 91b,1.0,False,True,False
ERR10290116,CO256,CO256,PRJEB56320,CO256,Ames 27051,CO256,1.0,False,True,True
ERR10290117,CI90C,CI90C,PRJEB56320,CI90C,PI 694097,CI 90C,1.0,False,True,False
ERR10290118,CS608,CS608,PRJEB56320,CS608,PI 560316,CS608,1.0,False,True,True
ERR10290119,CO245,CO245,PRJEB56320,CO245,Ames 27048,CO245,1.0,False,True,True
ERR10290120,CO192,CO192,PRJEB56320,CO192,Ames 27043,CO192,1.0,False,True,True
ERR10290121,CO237,CO237,PRJEB56320,CO237,Ames 27047,CO237,1.0,False,True,True
ERR10290122,CO216,CO216,PRJEB56320,CO216,Ames 27044,CO216,1.0,False,True,True
ERR10290123,BEI10-NORTH10,BEI10-NORTH10,PRJEB56320,BEI10NORTH10,,,,,False,False
ERR10290747,CM99,CM99,PRJEB56320,CM99,Ames 27031,CM99,1.0,False,True,True
ERR10290748,B99,B99,PRJEB56320,B99,PI 584528,B99,1.0,False,True,True
ERR10290749,CML395,CML395,PRJEB56320,CML395,PI 690627,CML 395,1.0,False,True,False
ERR10290750,CO158,CO158,PRJEB56320,CO158,Ames 27042,CO158,1.0,False,True,True
ERR10290751,CL27,CL27,PRJEB56320,CL27,Ames 27029,CL27,1.0,False,True,True
ERR10290752,B42,B42,PRJEB56320,B42,PI 603939,B42,1.0,False,True,True
ERR10290753,B54,B54,PRJEB56320,B54,PI 550470,B54,1.0,False,True,True
ERR10290754,CM48,CM48,PRJEB56320,CM48,Ames 22747,CM48,1.0,False,True,True
ERR10290755,CO117,CO117,PRJEB56320,CO117,Ames 27039,CO117,1.0,False,True,True
ERR10290756,CI540,CI540,PRJEB56320,CI540,PI 151090,CI 540,1.0,False,True,False
ERR10290757,C42,C42,PRJEB56320,C42,Ames 23507,C42,1.0,False,True,True
ERR10290758,CG10,CG10,PRJEB56320,CG10,Ames 24585,CG10,1.0,False,True,True
ERR10290759,C68,C68,PRJEB56320,C68,Ames 22023,C68,1.0,False,True,True
ERR10290760,A96,A96,PRJEB56320,A96,Ames 23393,A96,1.0,False,True,True
ERR10290761,CHI-TAN120,CHI-TAN120,PRJEB56320,CHITAN120,PI 427111,Chi-tan 120,1.0,False,True,False
ERR10290762,A651,A651,PRJEB56320,A651,Ames 23484,A651,1.0,False,True,True
ERR10290763,C102,C102,PRJEB56320,C102,NSL 22983,C102,1.0,False,True,True
ERR10290764,C15,C15,PRJEB56320,C15,Ames 22016,C15,1.0,False,True,True
ERR10290765,CI40H,CI40H,PRJEB56320,CI40H,PI 694078,C.I. 40h,1.0,False,True,False
ERR10290766,B91,B91,PRJEB56320,B91,PI 527700,B91,1.0,False,True,True
ERR10290767,B90,B90,PRJEB56320,B90,PI 527699,B90,1.0,False,True,True
ERR10290769,A171,A171,PRJEB56320,A171,NSL 42878,A171,1.0,False,True,True
ERR10290773,B101,B101,PRJEB56320,B101,PI 564852,B101,1.0,False,True,True
ERR10290776,A155,A155,PRJEB56320,A155,Ames 23396,A155,1.0,False,True,True
ERR10290778,B-18_INBR_FR_SU,B-18_INBR_FR_SU,PRJEB56320,B18INBRFRSU,,,,,False,False
ERR10290780,AM0776,AM0776,PRJEB56320,AM0776,PI 583356,AM0776,1.0,False,True,True
ERR10290781,B106,B106,PRJEB56320,B106,PI 594049,B106,1.0,False,True,True
ERR10290786,A15,A15,PRJEB56320,A15,Ames 23389,A15,1.0,False,True,True
ERR10290789,A673,A673,PRJEB56320,A673,Ames 23497,A673,1.0,False,True,True
ERR10290790,A12,A12,PRJEB56320,A12,NSL 42873,A12,1.0,False,True,True
ERR10290791,A662,A662,PRJEB56320,A662,PI 607522,A662,1.0,False,True,True
ERR10290794,AR228,AR228,PRJEB56320,AR228,PI 561522,AR228,1.0,False,True,True
ERR10290797,AH83,AH83,PRJEB56320,AH83,PI 692203,AH83,1.0,False,True,True
ERR10290799,A508,A508,PRJEB56320,A508,Ames 23446,A508,1.0,False,True,True
ERR10290801,A3G-3-3-1-313,A3G-3-3-1-313,PRJEB56320,A3G331313,PI 692202,A3G-3-3-1-313,1.0,False,True,True
ERR10290802,A415-1-3-INBRED,A415-1-3-INBRED,PRJEB56320,A41513,PI 221773,A415-1-3 INBRED,1.0,False,True,False
ERR10290803,A344,A344,PRJEB56320,A344,Ames 23425,A344,1.0,False,True,True
ERR10290806,4F-234BX4,4F-234BX4,PRJEB56320,4F234BX4,PI 198892,4F-234 BX 4,1.0,False,True,False
ERR10290809,80-2,80-2,PRJEB56320,802,PI 369437,80-2,1.0,True,False,True
ERR10290812,4F-306_108,4F-306_108,PRJEB56320,4F306108,PI 198897,4F-306 108,1.0,False,True,False
ERR10290814,904,904,PRJEB56320,904,PI 560317,904,1.0,True,False,True
ERR10290815,4554_INBRED,4554_INBRED,PRJEB56320,4554INBRED,,,,,False,False
ERR10290816,52220,52220,PRJEB56320,52220,Ames 2336,52220,1.0,True,False,True
ERR10290818,4578INBRED,4578INBRED,PRJEB56320,4578INBRED,,,,,False,False
ERR11202955,Par_N16,Par_N16,PRJEB61159,PARN16,,,,,False,False
ERR1462650,A374_inra,A374_inra,PRJEB14212,A374INRA,,,,,False,False
ERR1462651,AR210_inra,AR210_inra,PRJEB14212,AR210INRA,,,,,False,False
ERR1462652,Ak3_inra,Ak3_inra,PRJEB14212,AK3INRA,,,,,False,False
ERR1462653,CH10-4_ethz,CH10-4_ethz,PRJEB14212,CH104ETHZ,,,,,False,False
ERR1462654,CH19-1_ethz,CH19-1_ethz,PRJEB14212,CH191ETHZ,,,,,False,False
ERR1462655,CH34_ethz,CH34_ethz,PRJEB14212,CH34ETHZ,,,,,False,False
ERR1462656,CH36_ethz,CH36_ethz,PRJEB14212,CH36ETHZ,,,,,False,False
ERR1462657,CH446A_ethz,CH446A_ethz,PRJEB14212,CH446AETHZ,,,,,False,False
ERR1462658,CO109_inra,CO109_inra,PRJEB14212,CO109INRA,,,,,False,False
ERR1462659,CQ502_inra,CQ502_inra,PRJEB14212,CQ502INRA,,,,,False,False
ERR1462660,EP4_csic,EP4_csic,PRJEB14212,EP4CSIC,,,,,False,False
ERR1462661,EP80_csic,EP80_csic,PRJEB14212,EP80CSIC,,,,,False,False
ERR1462662,EV18_csic,EV18_csic,PRJEB14212,EV18CSIC,,,,,False,False
ERR1462663,EZ4_csic,EZ4_csic,PRJEB14212,EZ4CSIC,,,,,False,False
ERR1462664,F48_inra,F48_inra,PRJEB14212,F48INRA,,,,,False,False
ERR1462666,F759_inra,F759_inra,PRJEB14212,F759INRA,,,,,False,False
ERR1462667,GA219_inra,GA219_inra,PRJEB14212,GA219INRA,,,,,False,False
ERR1462668,FV1_inra,FV1_inra,PRJEB14212,FV1INRA,,,,,False,False
ERR1462669,FV70_inra,FV70_inra,PRJEB14212,FV70INRA,,,,,False,False
ERR1462670,FV72_inra,FV72_inra,PRJEB14212,FV72INRA,,,,,False,False
ERR1462671,FV76_inra,FV76_inra,PRJEB14212,FV76INRA,,,,,False,False
ERR1462672,F39_inra,F39_inra,PRJEB14212,F39INRA,,,,,False,False
ERR1462673,FC16_inra,FC16_inra,PRJEB14212,FC16INRA,,,,,False,False
ERR1462674,FC24_inra,FC24_inra,PRJEB14212,FC24INRA,,,,,False,False
ERR1462675,FC673_inra,FC673_inra,PRJEB14212,FC673INRA,,,,,False,False
ERR1462676,FC25_inra,FC25_inra,PRJEB14212,FC25INRA,,,,,False,False
ERR1462677,Mo15W_inra,Mo15W_inra,PRJEB14212,MO15WINRA,,,,,False,False
ERR1462678,N22_inra,N22_inra,PRJEB14212,N22INRA,,,,,False,False
ERR1462679,N6_inra,N6_inra,PRJEB14212,N6INRA,,,,,False,False
ERR1462680,NC222_inra,NC222_inra,PRJEB14212,NC222INRA,,,,,False,False
ERR1462682,ND1_inra,ND1_inra,PRJEB14212,ND1INRA,,,,,False,False
ERR1462683,ND283_inra,ND283_inra,PRJEB14212,ND283INRA,,,,,False,False
ERR1462684,ND30_inra,ND30_inra,PRJEB14212,ND30INRA,,,,,False,False
ERR1462686,NY303_inra,NY303_inra,PRJEB14212,NY303INRA,,,,,False,False
ERR1462687,NYS302_inra,NYS302_inra,PRJEB14212,NYS302INRA,,,,,False,False
ERR1462688,PB18_inra,PB18_inra,PRJEB14212,PB18INRA,,,,,False,False
ERR1462690,PB79-2_inra,PB79-2_inra,PRJEB14212,PB792INRA,,,,,False,False
ERR1462691,PB86_inra,PB86_inra,PRJEB14212,PB86INRA,,,,,False,False
ERR1462692,PLS14_inra,PLS14_inra,PRJEB14212,PLS14INRA,,,,,False,False
ERR1462693,PP147_inra,PP147_inra,PRJEB14212,PP147INRA,,,,,False,False
ERR1462694,RT9_inra,RT9_inra,PRJEB14212,RT9INRA,,,,,False,False
ERR1462695,UH_FF0721H_uh,UH_FF0721H_uh,PRJEB14212,UHFF0721HUH,,,,,False,False
ERR1462696,Wf9_inra,Wf9_inra,PRJEB14212,WF9INRA,,,,,False,False
ERR1462697,WJ_inra,WJ_inra,PRJEB14212,WJINRA,,,,,False,False
ERR1462698,ARZM01097_CIMMYT,ARZM01097_CIMMYT,PRJEB14212,ARZM01097CIMMYT,,,,,False,False
ERR1462699,ARZM07086_CIMMYT,ARZM07086_CIMMYT,PRJEB14212,ARZM07086CIMMYT,,,,,False,False
ERR1462700,MR25_JDHMV2,MR25_JDHMV2,PRJEB14212,MR25JDHMV2,,,,,False,False
ERR1462701,MR05_JDHMV2,MR05_JDHMV2,PRJEB14212,MR05JDHMV2,,,,,False,False
ERR1462702,MR07_JDHMV2,MR07_JDHMV2,PRJEB14212,MR07JDHMV2,,,,,False,False
ERR1462703,MR18_JDHMV2,MR18_JDHMV2,PRJEB14212,MR18JDHMV2,,,,,False,False
ERR1462704,MR09_JDHMV2,MR09_JDHMV2,PRJEB14212,MR09JDHMV2,,,,,False,False
